PMNT-RRCT-ESCT;SEPA Credit Transfer Instant
PMNT-RRCT-RRTN;SEPA Credit Transfer Instant Rückbuchung (resultierend aus unanbringlicher Überweisung oder Rückruf)
PMNT-RRCT-SALA;SEPA Credit Transfer Instant (Einzelbuchung-Haben, Lohn-, Gehalts-, Rentengutschrift)
SECU-CASH-TRFE;Gebühren für Wertpapiergeschäfte
SECU-CORP-BONU;Handel von Bonusrechten
SECU-CORP-EXWA;Handel von Bezugsrechten
SECU-CUST-CHRG;Depotgebühren
SECU-CUST-DVCA;Kupon/Dividenden
SECU-CUST-INTR;Erträge aus Wertpapieren
SECU-CUST-REDM;Inkasso
SECU-MCOP-OTHR;Handel von Optionen
SECU-MDOP-OTHR;Handel von Optionen
SECU-OTHR-OTHR;Übertrag
SECU-SETT-SUBS;Wertpapierzeichnung
SECU-SETT-TRAD;Effekten
TRAD-CLNC-OTHR;Inkasso
TRAD-DCCT-OTHR;Akkreditiv
TRAD-DOCC-OTHR;Dokumenten-Inkasso
TRAD-GUAR-OTHR;Aval
TRAD-MCOP-CHRG;Erstattung von Gebühren
TRAD-MCOP-COMM;Erstattung von Provisionen
TRAD-MCOP-OTHR;Rembourse
TRAD-MDOP-CHRG;Gebühren
TRAD-MDOP-COMM;Provisionen
TRAD-MDOP-OTHR;Rembourse
XTND-NTAV-NTAV;Unstrukturierte Belegung
